biblionumber;"Full Title";Author;Abstract;"Publications data";Content;Book_Url
285516;"The digital mindset : what it really takes to thrive in the age of data, algorithms, and AI /";"Leonardi, Paul M.,";;"Boston, Massachusetts : Harvard Business School Publishing Corporation, 2022 ";"  ";https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=285516
285517;"Comparative political economy : theory and evidence /";"Bernard, Prosper M.,";;"London, England ; New York, New York : Routledge, 2022 ";"  ";https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=285517
285518;"National security in the new world order : government and the technology of information /";"Monti, Andrea,";;"New York, New York : Routledge, 2022 ";"  ";https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=285518
285593;"Public management reform in the Gulf Cooperation Council and beyond / ";"Biygautane, Mhamed,";"""This book offers an understanding of the current state of public management in the Gulf Cooperation Council (GCC) region, highlighting the region's institutional and human capital constraints. Drawing on case studies from GCC states and beyond, the text provides a policy-oriented analysis of these challenges and a set of recommendations on how to address them. Public Management Reform in the Gulf Cooperation Council and Beyond utilizes several theoretical frameworks to explore three themes: first, how the quality of government and efficiency of its bureaucratic machinery can offer a business-friendly environment for the private sector; second, how public-private partnerships can foster stronger collaboration and exchange of knowledge and expertise between the public and private sectors; and finally, how the existing human capital constraints may be addressed through the effective implementation of talent management, knowledge management, and training programs. A comparative approach is taken throughout the book, contrasting the performance of GCC states with other Middle East and North Africa (MENA) countries or the Organization for Economic Cooperation and Development (OECD) member countries in key governance, public sector performance, and business competitiveness indicators - to identify what the GCC states need to do to enhance the quality of government and the capacity to deliver services more efficiently. This book will appeal to academics, practitioners, policymakers and private sector consultants, as well as those interested more broadly in the Middle East and Gulf region""";"New York, NY : Routledge, 2023. ";"Introduction: public management reform and its importance for the GCC states --  ";https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=285593
285594;"Foreign aid : policy and practice /";"Pomerantz, Phyllis R.,";"""Foreign Aid: Policy and Practice offers a complete overview of the basics of foreign aid. Who is it for? Who pays for it? Why does it exist? What is it spent on? How much is it? And most importantly, does it work? The aid debate has been flooded by academic studies and popular books which either challenge or champion the effectiveness of aid. Most presume that the reader already knows the basic facts and characteristics of the aid industry. This book provides readers with a comprehensive summary of the background, actors, core principles and policies, and intended (and unintended) outcomes of foreign aid, followed by a more informed and balanced treatment of the key controversies and trends in aid today. Drawing on the author's 25 years' experience in development practice and 15 years in teaching, the book reflects on recent efforts to accelerate aid's impact and concludes by taking a balanced look at the future of aid and the headwinds it will face in the first half of the 21st century. Perfect for university teaching at advanced undergraduate and graduate levels, this book will also encourage development practitioners, policy makers and members of the public to engage in more informed debates about aid and development finance""";"Abingdon, England : Routledge, 2024. ";"Part I: The Basics of Foreign Aid : -- Part II: Effective Aid: Debates and Trends : --  ";https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=285594
285595;"Violent non-state actors : the politics of territorial governance /";"Ludvik, Zdenek, ,";"""The author examines the relationship between the political control of territory by non-state violent actors (VNSA) and the effectiveness of these actors in realizing their political objectives. He frames these two phenomena as interrelated and explores the very conditions of their interdependence against the backdrop of robust empirical data""";"Lanham, Maryland : The Rowman &amp; Littlefield Publishing Group, Inc., 2023. ";"  ";https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=285595
285596;"The new knowledge : information, data and the remaking of global power /";"Haggart, Blayne,";"""Offers a unique and comprehensive overview of knowledge-governance issues in the 21st century through the novel, concrete and easily accessible lens of a single crucial smart-city project""";"Lanham, Maryland : Rowman &amp; Littlefield, 2023. ";"Introduction --  ";https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=285596
285597;"Shaping National Security : International Emergency Mechanisms and Disaster Risk Reduction /";;"""Shaping National Security: International Emergency Mechanisms and Disaster Risk Reduction presents international emergency mechanisms relative to disaster risk reduction (DRR). The goal is to share knowledge about existing frameworks, and utilize established DRR policies and programs, as another means to reinforce and strengthen national security in countries around the world. The book outlines, in detail, the United Nations Disaster Assessment and Coordination (UNDAC), the International Search and Rescue Advisory Group (INSARAG), the North Atlantic Treaty Organisation (NATO) and the Union Civil Protection Mechanism (UCPM) DRR programs. While these entities' versions of DRR best practices are largely directed at decreasing the impact of disaster hazards, limiting relevant exposure, local vulnerabilities, increasing capacities to cope with disaster, the authors present these frameworks as potential tools, and effective means, to support national security efforts. This is especially important in disaster circumstances when local, and national emergency resources, may be insufficient to face hazards and multi-hazards, and result in cascading effects to occur as hazard events transpire. Chapters present various resources available to them, through these programs, to encourage authorities from every country to effectively apply the mechanisms-and emergency mechanisms specifically-to offer domestic solutions. Due to these programs proven track records in providing organisational standards, the use of such mechanisms can serve as both the basis to foster sound DRR practices and, by extension, can supplement resiliency, security, and continuity within countries. This concept is based on the premise that the UNDAC, INSARAG, NATO and ECPM emergency mechanisms have been developed to be implementable (directly or indirectly) in every country in the world when disasters occur. Shaping National Security takes a ""big-picture,"" holistic view of DRR and national security to offer innovative ideas and solutions to professionals and officials working in disaster management, disaster risk reduction, emergency management, crisis management, civil protection, public security management, national security, criminal justice, international studies, and homeland security""";"New York, NY : Routledge, 2024. ";"  ";https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=285597
285598;"Augmented and Virtual Reality in Social Learning : Technological Impacts and Challenges /";;"This book focuses on the design, development, and analysis of augmented and virtual reality (AR/VR)-based systems, along with the technological impacts and challenges in social learning. Social Learning provides a comprehensive approach to researching methods in the emerging fields of AR/VR. The contributors of this book outline the state-of-the-art implementation of AR/VR for the Internet of Things, Blockchains, Big Data, and 5G within AR/VR systems.";"Berlin : Walter de Gruyter GmbH, 2024. ";"  ";https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=285598
285599;"Toward Artificial General Intelligence : Deep Learning, Neural Networks, Generative AI /";;"Artifi cial Intelligence (AI) has been an exciting fi eld of study and research in educational institutions and research labs across the globe. Technology giants and IT organizations invest heavily on AI technologies and tools with the aim of preciselyautomating a variety of simple as well as complicated business operations acrossindustry verticals. This book covers the latest trends and transitions happening in thefuturistic AI domain. The book also focuses on machine and deep learning (ML/DL)algorithms, which are, undoubtedly, the mainstream implementation technologies ofstate-of-the-art AI systems and services. Also, there are chapters on computer vision(CV) and natural language processing (NLP), the primary use cases and applicationsof AI. The book has well-written chapters for demystifying AI model engineeringmethods. Further on, our esteemed readers can fi nd details on AI model evaluation,optimization, deployment and observability. Finally, the book deals and describesgenerative AI, the latest buzzword in the IT industry. The bookpresents the recent ground-breaking changes taking place in the aspects of AI model building, hosting, running and maintaining in cloud environments, articulates and accentuates the most recent developments taking place in the domain of Artifi cial Intelligence, covers the noteworthy innovations and disruptions towards Generative Artifi cial Intelligence (Generative AI), explains the breakthrough innovations and disruptions towards Artifi cial General Intelligence (AGI) and delineates an engaging discussion of Natural Language Processing, Neuromorphic Systems and Biometrics";"Berlin, Germany : Walter de Gruyter GmbH, 2024. ";"  ";https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=285599
285600;"Macroeconomic Policies for Emerging and Developing Economies / ";"Vasudevan, A.,";"This book examines the relevance of the concepts and hypotheses of macroeconomics in the contemporary world. It discusses the current debates on theory and practices of macroeconomic policies with a focus on developing economies emerging from the impact of Covid-19 pandemic. The volume advocates for a symbiotic relationship between macroeconomic policies and development strategies. It analyses several issues related to macroeconomic tools, which include openness, capital flows, exchange rate and financial strategies. It underscores the need to design a development strategy that accounts for the economic context of the countries concerned. Further, the book advocates for well-regulated macrofinancial policies promoting sustainable growth. It also provides recommendations to policy makers on formulating a sound and inclusive macroeconomic policy essential for financial stability. This book will be of interest to students and researchers of macroeconomics, public administration, development studies, management and policymaking. It will also be useful to economists, policymakers and journalists working on emerging and developing economies.";"Abingdon, England : Routledge, 2024. ";"  ";https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=285600
285601;"Women, Peace and Security : An Introduction /";"Johnson-Freese, Joan,";"""This book offers an accessible overview of the issues related to the Women, Peace, and Security (WPS) global agenda. This new edition has been updated and includes new chapters on WPS and Environmental Change and on WPS in Regional and Security Organizations. The 2nd edition provides explains Women, Peace and Security as a security framework, different though related to both gender equality as a social justice issue or a Diversity, Equity and Inclusion issue. Within the context of the changing nature of warfare, a complex and volatile global political climate, and through consideration of empirical evidence, it examines the definitions, theoretical underpinnings and methodological challenges associated with implementing WPS. It then discusses with more specificity violence against women, women civilians in war, the role of women in peacemaking, women in the military and in development, and women politicians, with new material on environmental change and on regional and security organisations. Examples and case studies draw from Africa, Asia, the Middle East, Europe and North and South America. The need for more sex-disaggregated data on every topic is emphasized throughout, necessary to both demonstrate relationships between gender and security and to identify solutions to problems. The book concludes with a look to the future and number of action items from the macro to the micro level. This book will be of much interest to students of peace studies, security studies, gender studies and IR, as well as professional military college students""";"Abingdon, England : Routledge, 2024. ";"  ";https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=285601
285602;"A sustainable green future : perspectives on energy, economy, industry, cities and environment /";;"The aim of this book is to open a vision to sustainability and development through a holistic perspective comprising the critical blocks of energy, environment and economy. From renewable energy, urban infrastructure, societal health to industrial symbiosis, the book assesses critical issues to reach a green future with realistic solutions proposed by a diverse range of multidisciplinary experts. It is intended for a broad readership of academics, researchers and industry experts focusing on these fields, and with specializations in sustainability.  The book is divided into different clusters starting with an introductory foreword to express the theme of the book and the route of the titles. The first cluster of the book highlights various multidisciplinary perspectives considering the interaction between different expertise. From engineering to economy supported with social pillars, this section gives the critical points of selected topics to focus on the future with a sustainability vision. The second cluster focuses on health issues, with discussion about the impacts of the COVID-19 pandemic and the way forward. Critical points like vaccines, health care and food security are highlighted. The third cluster is comprised of titles related to the urban environment and infrastructure. New solutions and discussions on biodesign, waste management and transportation are covered in this section. The last cluster covers energy, and highlights renewable energies such as bioethanol, biogas and wind. ";"Cham, Switzerland : Springer, 2023. ";"  ";https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=285602
285603;"Deep dive : exploring the real-world value of open source intelligence /";"Hoffman, Micah,";"Learn to gather and analyze publicly available data for your intelligence needs In Deep Dive: Exploring the Real-world Value of Open Source Intelligence, veteran open-source intelligence analyst Rae Baker explains how to use publicly available data to advance your investigative OSINT skills and how your adversaries are most likely to use publicly accessible data against you. The author delivers an authoritative introduction to the tradecraft utilized by open-source intelligence gathering specialists while offering real-life cases that highlight and underline the data collection and analysis processes and strategies you can implement immediately while hunting for open-source info. In addition to a wide breadth of essential OSINT subjects, you'll also find detailed discussions on ethics, traditional OSINT topics like subject intelligence, organizational intelligence, image analysis, and more niche topics like maritime and IOT. The book includes: Practical tips for new and intermediate analysts looking for concrete intelligence-gathering strategies Methods for data analysis and collection relevant to today's dynamic intelligence environment Tools for protecting your own data and information against bad actors and potential adversaries An essential resource for new intelligence analysts, Deep Dive: Exploring the Real-world Value of Open Source Intelligence is also a must-read for early-career and intermediate analysts, as well as intelligence teams seeking to improve the skills of their newest team members.";"Hoboken, NJ : John Wiley &amp; Sons, Inc., 2023. ";"Part 1: Foundational OSINT --  Part 2: OSINT Touchpoints --  ";https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=285603
285604;"Cyber threat intelligence / ";"Lee, Martin";"""This book describes the intelligence techniques and models used in cyber threat intelligence. It provides a survey of ideas, views and concepts, rather than offering a hands-on practical guide. It is intended for anyone who wishes to learn more about the domain, possibly because they wish to develop a career in intelligence, and as a reference for those already working in the area. The origins of this book lie in an awkward dinner conversation. On one side of the table was myself, a software engineer who had fallen into the domain of cyber security more or less by accident. On the other was a uniformed senior military intelligence officer. A shared professional interest in cyber threat intelligence had led to us being invited to the same event""";"Hoboken, New Jersey : John Wiley &amp; Sons, Inc., 2023. ";"  ";https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=285604
285605;"Building institutions for resilience : combatting climate change /";"Simmons, Andrew,";"This volume uses a case study approach to present data on the relevance and effectiveness of the strategic actions implemented by NGOs, IGOs and governments at national, regional, and international scales, drawing lessons and recommendations to enhance the capacity of governments and institutions to deliver on climate change adaptation and sustainable development initiatives. The authors provide insights to policymakers, community leaders, students and researchers working on climate change adaptation and resilience-building practices and strategies in vulnerable communities, including small island developing states and post-conflict states, focusing on innovative management practices and institutional capacity building. The cases presented here provide insights into how institutions can strengthen local, national, and regional capacities to adapt to climate change and other calamities.";"Cham, Switzerland : Springer Nature Switzerland AG, 2023. ";"  ";https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=285605
285606;"Guide to cybersecurity in digital transformation : trends, methods, technologies, applications and best practices /";"Moller, Dietmar,";"In today's digital transformation environments, a rigorous cybersecurity approach to effective risk management - including contingency planning, outlining immediate actions, preparing post-breach responses - is central to defending organizations' interconnected computer systems, networks, and infrastructure resources from malicious cyber-attacks.Specifically, cybersecurity technologies, processes, and practices need to be generalized and applied to intrusion detection and prevention measures. This entails analyzing profiles of cyber-attackers and building cyber-attack models for behavior simulation that can effectively counter such attacks. This comprehensive volume aims to cover all essential aspects of cybersecurity in digital transformation and to provide a framework for considering the many objectives and requirements involved. In addition to introducing theoretical foundations, the work also offers practical techniques for defending against malicious cybercriminals.Topics and features:Explores cybersecurity's impact on the dynamics of interconnected, complex cyber- and physical systems, infrastructure resources, and networksProvides numerous examples of applications and best practicesConsiders methods that organizations can use to assess their cybersecurity awareness and/or strategyDescribes anomaly intrusion detection, a key tool in thwarting both malware and theft (whether by insiders or external parties) of corporate dataAddresses cyber-attacker profiles, cyber-attack models and simulation, cybersecurity ontology, access-control mechanisms, and policies for handling ransomware attacksDiscusses the NIST Cybersecurity Framework, MITRE Adversarial Tactics, Techniques and Common Knowledge, CIS Critical Security Controls, and the ISA/IEC 62442 Cybersecurity StandardGathering all the relevant information, this practical guide is eminently suitable as a self-study resource for engineers, scientists, computer scientists, and chief information officers. Further, with its many examples of best practices, it can serve as an excellent text for graduate-level courses and research into cybersecurity.Dietmar P. F. Moller, a retired full professor, is affiliated with the Institute for Mathematics at Clausthal University of Technology, Germany.  He was an author of several other Springer titles, including Guide to Automotive Connectivity and Cybersecurity.";"Cham, Switzerland : Springer Nature Switzerland AG, 2023. ";"  ";https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=285606
285607;"Parties, politics, peace / ";"Manning, Carrie L.,";"""This path-breaking book uncovers the important, under-appreciated role of armed opposition groups turned political parties in shaping long-term patterns of politics after war. Based on an empirically grounded and theoretically informed retrospective on nearly thirty years of post-conflict democratic state-building efforts, it examines whether this practice has contributed to peace and finds that engaging post-rebel parties in electoral politics has proven to be a viable long-term strategy for bringing political stability, that disparate post-rebel parties from different political contexts invest heavily in electoral politics and that few post-rebel parties actively seek return to civil conflict as a solution after becoming a political party. This book will be of key interest to scholars, students and practitioners in democracy, governance, elections, political parties, post-conflict peacebuilding, and more broadly to international relations, comparative politics, and regional politics""";"Abingdon, England : Routledge, 2023. ";"        ";https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=285607
285608;"Contextualizing sectarianism in the Middle East and South Asia : identity, competition and conflict /";;"States across the Muslim world are faced with challenges associated with a perpetual cycle of conflict and violence organized along sectarian lines. To understand modern-day sectarianism, it is essential to move beyond explanations that focus predominantly on ancient Sunni-Shia animosities or a singular lens. It is important to engage in interdisciplinary and multidirectional examinations to better understand how sectarianism is strategically utilized by political entrepreneurs. Moreover, while religious identities and how individuals define themselves and their communities are important, it is also integral to analyze how identity has been utilized in historical and contemporary political contexts on state and non-state levels. This volume seeks to fill gaps in understanding the complexities associated with sectarianism through a transnational interdisciplinary analytical framework to enhance understanding of the socio-political, religio-political, cultural and security landscapes of the Middle East and South Asia. It also challenges narratives regarding sectarian divisions between Sunnis and Shias and deconstructs popular misconceptions about sectarianism, its spatial and temporal impact, as well as its influence on identities, conflict, and competition. The volume will be of interest to scholars and researchers of the Middle East and South Asia, and those interested in history, politics, international relations, international security, religion, and sociology.";"Abingdon, England : Routledge, 2023. ";"  ";https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=285608
285501;"Conflict Mediation in the Arab World / ";;"""This title focuses on mediation at three different levels of analysis: between countries, between governments and armed actors inside single countries, and between different communities. In applying this holistic method, the editors identify similarities and differences in the conditions for conflict resolution and management. Drawing upon the work of experts in the field with a deep understanding of the increasing complexities and changing dynamics of the region, this volume is a resource for academics, policy makers, and practitioners interested in conflict resolution and management in the Middle East and North Africa""";"Syracuse, New York : Syracuse University Press, 2023. ";"  ";https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=285501
285609;"From 5G to 6G : technologies, architecture, AI, and security /";"Yarali, Abdulrahman,";"""The transition from the fifth generation of wireless communication (5G) to the coming sixth generation (6G) promises to be one of the most significant phases in the history of telecommunications. The technological, social, and logistical challenges promise to be significant, and meeting these challenges will determine the future of wireless communication. Experts and professionals across dozens of fields and industries are beginning to reckon seriously with these challenges as the 6G revolution approaches. From 5G to 6G provides an overview of this transition, offering a snapshot of a moment in which 5G is establishing itself and 6G draws ever nearer. It focuses on recent advances in wireless technology that bring 6G closer to reality, as well as the near-term challenges that still have to be met for this transition to succeed. The result is an essential book for anyone wishing to understand the future of wireless telecommunications in an increasingly connected world.""";"Hoboken, New Jersey : John Wiley &amp; Sons, Inc., 2023. ";"  ";https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=285609
285610;"How terrorists learn : organizational learning and beyond /";;"""This volume helps us understand the transformations of terrorist organisations, and the conflicts they are involved in, by broadening the perspective on what is considered terrorist learning. Using a variety of methodological approaches and empirical data, the volume offers a look at the clandestine inner lives of groups from different continents and ideological backgrounds in order to explore from whom they learn and how, and what the outcomes are. Their internal and external interactions are examined within their socio-political contexts to illuminate how they adapt to challenges or fail to do so. Unpacking the question of 'how do terrorists learn' helps us to grasp not only changes of violent means of action but also of operational and strategic approaches and, ultimately, even transformations of the ends pursued. The chapters demonstrate that terrorist learning is not principally different from that of other human organisations. The contributors draw on conceptual frameworks of organizational learning, but also broaden the scope beyond the organizational framework to acknowledge the variety of forms of informal and decentralized learning characteristic of much contemporary terrorism. This book will be of much interest to students of terrorism studies, violent extremism, organisational studies and International Relations""";"Abingdon, England : Routledge, 2024. ";"  ";https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=285610
285519;"Lethal autonomous weapons : re-examining the law and ethics of robotic warfare /";"Galliott, Jai,";;"New York, New York : Oxford University Press, 2021 ";"  ";https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=285519
285520;"The European Union and the Gulf Cooperation Council : towards a new path /";"Ghafar, Ahmed Ismail Abdel,";;"Singapore : Palgrave Macmillan, 2021 ";"  ";https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=285520
285521;"The Mystic Hand : How Central Banks Shaped the 21st Century Global Economy /";"Overtveldt, Johan van,";;"Chicago, Illinois : B2, 2022 ";"  ";https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=285521
285522;"Geopolitics : making sense of a changing world /";"Short, John R.,";;"Lanham, Maryland : Rowman &amp; Littlefield, 2022 ";"  ";https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=285522
285523;"Introduction to internet of things in management science and operations research : implemented studies /";;;"Cham, Switzerland : Springer, 2021 ";"  ";https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=285523
285524;"The world's future crisis : extractive resources depletion /";"Seifi, Shahla,";;"Singapore : Springer, 2021 ";"  ";https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=285524
285525;"Transforming security : a new balance-of-power doctrine /";"Werther-Pietsch, Ursula,";;"Cham, Switzerland : Springer, 2022 ";"  ";https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=285525
285612;"Government and politics of the contemporary Middle East : discontinuity and turbulence /";"Ismael, Tareq Y.,";"""This exciting new edition of the successful textbook for students of Middle Eastern politics provides a highly relevant and comprehensive introduction to the complexities of a region in constant flux. Combining a thematic framework for examining patterns of politics with individual chapters dedicated to specific countries, the book places the very latest developments and long-standing issues within an historical context. This third edition extends its analysis to post-2015 developments in the region, as well as expanding the range of pedagogical features on offer. Presenting information in an accessible and inclusive format, the book offers: - Coverage of the historical influence of colonialism and major world powers on the shaping of the modern Middle East - A detailed examination of the legacy of Islam - Analysis of the political and social aspects of Middle Eastern life, including alienation between the state and society, poverty and social inequality, and ideological crisis and renewal - Case studies on countries in the Fertile Crescent (Iraq, Syria and Lebanon, and Israel/Palestine); the Northern Belt (Turkey and Iran); and those West and East of the Red Sea (Egypt and the members of the Gulf Cooperation Council) A key introductory text for students of Middle Eastern politics and history at advanced undergraduate and postgraduate levels, this new edition has been extensively updated to also become a timely and significant reference for policy-makers and any motivated reader""";"Abingdon, England : Routledge, 2024. ";"  ";https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=285612
285526;"The role of intelligence and state policies in international security / ";;;"England : Cambridge Scholars Publisher, 2021 ";"  ";https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=285526
285616;"New military strategies in the Gulf : the mirage of autonomy in Saudi Arabia, the UAE and Qatar /";"Samaan, Jean-Loup,";"In the last decade, rulers in Gulf regimes have aspired to greater strategic autonomy and distance from the West. Coined the ""Gulf moment"" by local commentators, this regional trend reflects a redistribution of power in the Arab world. This is the first book to examine the military dimensions of these shifts. Gulf military strategy has prioritised the improvement of local armed forces and the diversification of defence partnerships towards countries such as Russia, Turkey or China. However, this book shows how this has led to the militarisation of Gulf societies, the further erosion of multilateral initiatives - including the Gulf Cooperation Council - and the Gulf's perilous involvement in the war in Yemen. The book also highlights enduring reliance on the West. Each chapter covers a key aspect of defence policy from governance of armed forces, military education and power projection capabilities to regional security cooperation and lessons from warfighting experiences. Close attention is paid to Saudi Arabia, the United Arab Emirates and Qatar, countries that have enjoyed prominent roles in the region's security affairs during the last ten years. The research is based on extensive fieldwork and interviews with major decision-makers, officials, and diplomatic and military representatives. It is also uses recently declassified official documents to gain rare insight into what Gulf countries intend for their defence policies.";"London, England : Bloomsbury Publishing Plc, 2023. ";"  ";https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=285616
285527;"Digital influence mercenaries : profits and power through information warfare /";"Forest, James J. F.,";;"Annapolis, Maryland : Naval Institute Press, 2022 ";"  ";https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=285527
285617;"Human capital in the global digital economy / ";"Khachaturyan, Ashot A.,";"""Digitalization creates prerequisites for a radical paradigm shift in social structure, changing people's consciousness and their worldview. The digital economy forces society to evolve from the solidarity relations of the industrial age to individualized, fragmented, unstable, often virtual relations. An increasing number of jobs may be at risk of closure, and workers freed up by digitalization may become not only unemployed, but redundant altogether. How to ensure their socialization in modern society and how to support them? This book may be useful for undergraduate, graduate and postgraduate students and researchers studying human capital development, the digital economy, globalization, the release of workers and unemployment. It may also be useful for practitioners dealing with corporate human capital management issues""";"New York, New York : Nova Science Publishers, Incorporated, 2023. ";"  ";https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=285617
