biblionumber	kept_shelf	full_title	author	abstract	publications_data	content	subject1	subject2	subject3	other_authors	book_url
292477	1	Under Pressure? : | Living with Climate Change and Environmental Hazards in the Past and Now /	Bradtmöller, Marcel.	This open access book gathers different case studies of resilience and coping strategies in hunter-gatherer societies who were confronted with natural hazards. Joined in this book, authors display a range of strategies how people could face natural hazards and climate change, how they manage stress at a group or personal level, and how they transmit their knowledge about dreadful events and successful responses to later generations. Consequently, this book is primarily for a scientific audience focused on hunter-gatherers but will also provide insights for those interested in human responses to crisis and change.							https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=292477
292476	1	Spatial Methods in Transdisciplinarity for Urban Sustainability : | A Transformative Methodological Spectrum /	Frehse, Fraya.	The book critically addresses the role of spatial methods in a transdisciplinary research-practice agenda regarding the promotion of urban sustainability throughout the globe with the aid of eight different, transdisciplinary approaches primarily based throughout the Global South and jointly penned by academics and practitioners. While the range of methodological discussions regarding research-and-practice collaborations between scientific researchers and local practitioners (based in NGOs, private firms or local government agencies) as well as independent policy-makers or artists for the purpose of urban sustainability has been thriving vastly over the last years, little attention has been paid to spatial methods in particular. This is not to mention their transdisciplinary use in urban contexts of the Global South. Resorting on empirical settings as diverse as Pretoria (South Africa), Porto Alegre and São Paulo (Brazil), Kolkata (India), Bangkok (Thailand) and Tshwane (South Africa) during the last four (partially Covid-19 pandemic) years as well as Tangerang (Indonesia) from 2001 to 2021, and San José (Costa Rica) between 2004 and 2007, the book sheds light on the following, twofold question: Which possibilities and limitations can spatial methods respectively unravel and encounter for transdisciplinary research and practice, in view of the SDG11 targets? By pursuing very diversified research-and-practice paths with the aid of specific combinations of spatial methods, each of the eight chapters makes evident the book's central claim: the deployment of spatial methods in transdisciplinary projects for SDG11 has a transformative role. While some chapters especially highlight the personal dimension of the changes brought about to academics by the spatial-methodological, transdisciplinary experiments, others emphasize the academic reach of the spatial-methodological experience accomplished in and through transdisciplinarity. This is an open access book.							https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=292476
292475	1	Habitable Future : | Smart Spaces, Objects, and Devices to Support Aging /	Ferrante, Tiziana.	This open-access book presents a multidisciplinary approach to the design of living spaces from an age-friendly perspective, in line with the Ambient Assisted Living (AAL) paradigm, which promotes the integration of assistive devices and technologies to create safe, comfortable environments that meet the needs of older adults and their caregivers. It outlines new operational strategies, incorporating an analysis of technological development trends focused on the well-being and health of older adults, identifying their needs and expectations through participatory processes, and establishing design requirements to foster the acceptance of interfaces and emerging devices. In light of the exponential increase in smart applications within living environments, the book emphasizes the necessity to introduce cutting-edge solutions for data transmission and processing, as well as the development of semantically driven tools to support designers in selecting and integrating assistive technologies through virtual environment simulations. The book also illustrates the methodological processes adopted in defining guidelines for the design of spaces dedicated to older adults, with attention to architectural and functional aspects in various domains: perceptual and sensory factors for the design of waiting areas in Community Houses, technological and environmental requirements for the integration of devices in home adaptation projects for Home Care and locational and typological criteria for the development of new Social Day Care Centers. These contributions are based on the experiences shared during the conference organized by the WP1 "Human-Centred Design and Evaluation, Certifications, Sustainability within the Built Environment" of Spoke9, within the framework of the Age-It/NRRP program.							https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=292475
292451	2	علمتني الحياة / | محمد بن راشد آل مكتوم.	آل مكتوم، محمد بن راشد،	كتاب "علمتني الحياة" لصاحب السمو الشيخ محمد بن راشد آل مكتوم هو خلاصة تجربة قيادية وحياتية تمتد لستة عقود في العمل العام، يروي فيها دروسه في السياسة والإدارة والحياة بأسلوب بسيط وصادق وقريب من القلب. يوضح سموه أن ما تعلمه من الحياة هو أنه إنسان يتطور باستمرار، لكن الثابت الوحيد كان حبه لوطنه وشعبه وأسرته، وسعيه الدائم لخير الناس وعدلهم وكرامتهم. يتناول الكتاب فلسفة القيادة التي تبناها سموه والقائمة على الفعل المستمر لا الانتظار، ويستعرض القيم التي ورثها عن والده الشيخ راشد بن سعيد آل مكتوم - رحمه الله -  مثل البساطة وضبط النفس والتسامح. كما يطرح رؤية واضحة لأهمية الحرية الاقتصادية باعتبارها المحرك الحقيقي لازدهار المجتمعات، ويحذر من الفساد بوصفه الخطر الأكبر على الدول. ويتطرق الكتاب إلى قضايا إنسانية وأخلاقية مثل الكرم باعتباره سعادة للروح، والتفاؤل كقوة تصنع المستقبل، وتجربة العيش الحقيقي من خلال التحديات والمغامرات. ويكشف سموه عن عاداته التي شكلت نجاحه وأبرزها الاستيقاظ المبكر، ويركز على أهمية الانسجام المجتمعي الذي جعل الإمارات وطناً للجميع. كما يوجه وصاياه لأحفاده وللأجيال القادمة بالإخلاص والنزاهة والبساطة وأن يكونوا نافعين للناس دون تفرقة. ويضم الكتاب العديد من الفصول الأخرى التي تتناول تجارب صاحب السمو الشيخ محمد بن راشد آل مكتوم وقيمه القيادية والإنسانية، وتشمل موضوعات متنوعة حول الإبداع والتسامح والولاء والحب والسعادة، بالإضافة إلى دروس عملية في بناء الفرق، ومواجهة التحديات، وإدارة الوقت، وغرس ثقافة الأمل والعطاء، لتشكّل بذلك مرجعاً ملهماً لكل من يسعى لصناعة المستقبل والمساهمة في بناء مجتمعات مزدهرة ومستدامة.  الكتاب يمثل إضافة نوعية للمكتبة العربية، ومرجعاً غنياً يجمع بين السرد الشخصي والقيم القيادية والإنسانية، ليكون مصدر إلهام للشباب وصناع القرار وكل من يسعى لبناء مستقبل أفضل ومجتمع مزدهر ومستدام.							https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=292451
292439	2	مدخل إلى الذكاء الاصطناعي واستخداماته في المجال العسكري /	خماس، علاء الدين حسين مكي،	يتناول هذا الكتاب تحليلاً شاملاً لمجال الذكاء الاصطناعي، بدءًا من أسسه النظرية وتقنياته، وصولًا إلى تطبيقاته العملية في مختلف القطاعات، مع تركيز خاص على الاستخدامات العسكرية. يسلط الضوء على التحولات الجذرية التي أحدثها الذكاء الاصطناعي في ميادين الحرب الحديثة، من خلال تطوير أنظمة قتالية مستقلة، وتحسين قدرات اتخاذ القرار وتحليل البيانات الضخمة. كما يناقش التحديات الأخلاقية والقانونية المرتبطة باستخدام هذه التقنيات، خاصة في ما يتعلق بإمكانية اتخاذ الآلات لقرارات مميتة دون إشراف بشري. ويعرض الكتاب دراسة بحثية أجرتها مؤسسة راند للبحوث حول الذكاء الاصطناعي العسكري، ويستعرض تجارب دول مثل الولايات المتحدة والصين وروسيا وإيران وإسرائيل في هذا المجال. ويهدف إلى تقديم رؤية متوازنة تساعد القراء على فهم هذا المجال المتسارع، واستيعاب آثاره على الأمن، والمجتمع، ومستقبل البشرية.							https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=292439
292428	2	موسوعة الأديان العالمية /	الخشت، محمد عثمان،	تسعى هذه الموسوعة للمفكر العربي أ.د.محمد عثمان الخشت إلى تقديم معالجة شاملة غير مسبوقة للأديان الكبرى والصغرى، والملل والنحل، والمذاهب والفرق، والطوائف والهرطقات، إضافةً إلى التيارات الروحانية والأسطورية. ولا تقتصر على عرض العقائد والطقوس، بل تمتد إلى تناول الأديان في تفاعلها مع التاريخ، والفلسفة، واللاهوت، والتطورات الفكرية الحديثة. وهي بذلك تتجاوز الأطر التقليدية للموسوعات السابقة.وتؤكد الموسوعة على أهمية إدراك “المساحات المشتركة” بين الأديان والفلسفات، وفي الوقت ذاته تحترم “مساحات الاختلاف النوعية” بينها، ولا تسعى إلى إذابة الفروق بين العقائد، لكنها في الوقت ذاته تُعيد رسم الجسور بين الاختلاف والتعايش، حيث يكون التنوع الديني انعكاسا للتنوع الكوني.ومن أهم مميزات هذه الموسوعة:الشمول، الموضوعية؛ البعد الفلسفي والميتافيزيقي، معالجة قضايا الدين من خلال العلوم الإنسانية والاجتماعية، تأسيس خطاب ديني جديد، والتوازن بين المشترك والمختلف							https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=292428
292424	2	الإخوان المسلمون والتهديد الفكري /	إبراهيم، عدنان،	آثر الكتاب أن يجعل منطلقه في الاشتباك الفكري مع جماعة الإخوان المسلمين الثلاثة الأركان التي رفعوا عليها بناء هم الفكري برمته ممثلة في استعادة الخلافة الإسلامية، والحاكمية، والأمة في مقابل الوطن، كاشفا بهذا الخصوص، ضمن حدود العمل الضيقة، عن صنوف من التلبيسات وضروب من التضليلات التي يعسر على العوام كشفها وتزييفها.ثم عطف الكتاب ببيان الوسائل التي اصطنعتها هذه الجماعة من أيام مؤسسها لتحقيق أهدافها، التي لا تخطئ عين ناقدة رؤيتها على حقيقتها، بعيدا عن التمسحالعاطفي بالإسلام وادعاء إشاعته ونصرته رغبة هوسية في السلطة والهيمنة، وتنفيذا أثيما الأجندات قوى عالمية مشبوهة، تصر على تفتيت بلادنا، وإخسار قضايانا العادلة والمصيرية، ومن ثم تركنا أرضا وشعوبا نهبا للطامعين وميدانا للواغلين والصائلين.وقد تخير الكتاب من تلكم الوسائل، خمسا، قدر أنها الأخطر والأفعل، وهي: التراتبية الصارمة، الحصرية واحتكار تفسير الدين الطاعوية التقية والكذب والتلون والإرهاب معجلا ومؤجلا.							https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=292424
292394	2	مقدمة في تاريخ الأديان /	السلامين، زياد،	يهدف هذا الكتاب إلى التعريف بأبرز ديانات العالم من حيث تطورها التاريخي، وأصولها و مبادئها وطقوسها، وشعائرها الدينية، وكتبها المقدسة، ومصادر دراستها التاريخية والآثارية ويقدم تصورًا عامًا عن الفكر الديني القديم والمعاصر، وتعريفا بالأديان الحية والبائدة، وأطرها الفكرية والعقائدية، وقيمها وأخلاقياتها ومبادئها، عبر عرض مسحي لأبرز أديان العالم وترتيبها ترتيبا زمنيا من الأقدم إلى الأحدث، لتوضيح مراحل تطور الفكر الديني عبر العصور، وتحديد الإطارين التاريخي والجغرافي لكل ديانة بدءًا من ديانات مجتمعات العصور الحجرية القديمة أديان عصور ما قبل التاريخ، وانتهاء بالإسلام، مستعرضًا خصوصية كل دين، والقيم المشتركة بينها بهدف تعزيز قيم التسامح والعيش المشترك، وقبول الآخر، وتقبل الاختلاف، واحترام الخصوصية العقائدية لكل دين، وتبجيل شعور التنوع والتعدد الفكري والعقائدي الذي يفضي إلى الائتلاف والانسجام، والتعريف بالمشترك الإنساني بين الأديان، وبيان مدى تلاقح كل ديانة في الأخرى، وأثر ذلك في السلوك والتفكير.							https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=292394
292177	1	Nelson مانديلا /	حسين، عبد العزيز عبد الرحمن،	هي سيرة ذاتية لرجل من أهم رجالات التاريخ، مناضل عارك السجن والتمييز العنصري، ليخرج بعد عشرات السنين من معتقله مسامحاً، ودخل السياسة من جديد ليصير رئيساً، ثم يقرر بذاته الابتعاد عن الرئاسة ليكون رجلاً عادياً محاضراً عن القيم والتجربة. يتضمن هذا الكتاب صفحات من حياة مانديلا قبل سجنه، وأثناء السجن وبعده، وهي مزيج من كلمات خطها بقلمه أو رواها لآخرين، أو هو رصيد السيرته الذاتية من طفولته حتى وفاته في نهايات العام 2013. الفصل الأخير هو عبارة عن مقالات وقراءات في سيرة الرجل الأسطورة تحلل التجربة وتقيمها، وتعطي المناضل الأسمر حقه في نضاله لتحرير السود في جنوب أفريقيا، بل في كل أفريقيا من هيمنة الرجل الأبيض، وجشع السيطرة على البشر والثروات.							https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=292177
292176	1	بوكو حرام : | من الجماعة إلى الولاية، أزمة التطرف و الفساد في أفريقيا /	أحمد، محمد عبد الكريم،	يتناول الكتاب دراسة الحالة النيجيرية بكل تناقضاتها، ويشرح كيف يمكن استغلال هذه الدراسة لفهم واقع الدولة الأفريقية فى مرحلة ما بعد الاستقرار. كما يطرح الكتاب سؤالاً مهما هو: لماذا يعانى الأفارقة من الفقر والبطالة إذا كانت بلدانهم تزخر بالموارد الطبيعية والبشرية الهائلة؟ وبالحديث عن "بوكو حرام"، تلك الجماعة التى تسببت فى الكثير من الحوادث والاعتداءات الخطيرة، يقول الكاتب إن القضاء عليها لن يكون سهلا، أو عن طريق استخدام وسائل مكافحة الإرهاب التقليدية التى تتبعها السلطات النيجيرية، فالتدهور الاقتصادى والسياسى والأمنى الذى تعانى منه البلاد منذ استقلالها عام 1960 أدى إلى حال من السخط انتشرت بين أهالى نيجيريا وتسببت فى نوع من عدم الاستقرار. وهكذا فإنه يمكن النظر إلى "بوكو حرام" على أنها مثال لحالة انعدام الأمن الإنسانى العام التى حلَّت بالبلاد جراء الفساد الذى لطَّخ التاريخ السياسى والاقتصادى لنيجيريا.. ونتيجة لذلك، فإن إجراءات السيطرة التى يتم تطبيقها، إن لم تحصن على المدى الطويل بتنمية اقتصادية وسياسية، يمكن أن تمثل مجرد قدر بسيط فى إصلاح متعجل وغير فعال، وأن تسفر عن ظهور حركات "بوكو حرام" أخرى، تحت تسميات مختلفة. ينقسم الكتاب إلى ثمانية فصول تناقش النقاط التالية؛ الفصل الأول: نيجيريا: عملاق أفريقيا التائه؟ والفصل الثاني: نشأة "بوكو حرام"، والفصل الثالث: تفكيك أيديولوجيا "بوكو حرام": ابن الغير لا يمكن اقتراضه، والفصل الرابع: الإرهاب فى مواجهة دولة الفساد، والفصل الخامس: تمدد "بوكو حرام" الإقليمي... الجريمة والعقاب، والفصل السادس: الغرب و"بوكو حرام"، والفصل السابع: "بوكو حرام"... "داعش" غرب إفريقيا؟ والفصل الثامن: ما بعد النص... "بوكو حرام" وسيناريو ما بعد بخارى.							https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=292176
292175	1	الإسلام و سياسة المسلمين في أفريقيا = Islam and Muslim Politics in Africa /	سواريس، بنجامين،	كتاب "الإسلام وسياسة المسلمين في أفريقيا" من تأليف بنجامين سواريس ورينيه عتيق، يركز على دراسة التحولات السياسية والاجتماعية التي طرأت على المجتمعات المسلمة في أفريقيا خاصة مع تراجع دور الدولة التقليدية وصعود تأثير العولمة. يتناول الكتاب كيف أصبحت الحركات الإسلامية والعوامل الدينية محوراً لتشكيل السياسات المحلية والإقليمية في ظل تغير الأنظمة وبروز التحديات الاقتصادية والاجتماعية الحديثة. كما يناقش دينامية التفاعل بين الإسلام والسلطة والدولة، ويوضح أشكال التكيف السياسي والديني للمسلمين الأفارقة مع التحولات الكبرى، بالإضافة إلى استعراض نماذج تاريخية للحواضر الإسلامية ودورها في بناء الهوية الاجتماعية والسياسية للقارة. يعكس الكتاب جهود بحثية مشتركة بين مؤسسات علمية وهو مرجع مهم لفهم العلاقة بين الدين والسياسة في أفريقيا المعاصرة.							https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=292175
292174	1	تسوية الصراعات في إفريقيا : | نموذج الإيكواس /	شافعي، بدر حسن،	يحلل كتاب "تسوية الصراعات في إفريقيا: نموذج الإيكواس" للدكتور بدر حسن الشافعي تجربة الجماعة الاقتصادية لدول غرب إفريقيا (إيكواس) كآلية إقليمية في معالجة النزاعات المسلحة والصراعات السياسية في منطقة غرب القارة. يستعرض المؤلف السياقات التاريخية لتأسيس الإيكواس ويوضح تطورها من منظمة تعنى في الأصل بالتكامل الاقتصادي إلى فاعل سياسي وأمني مهم في تسوية النزاعات، خاصة بعد نهاية الحرب الباردة. يتناول الكتاب بالتفصيل تدخلات الإيكواس في أزمات ليبيريا وسيراليون وغينيا بيساو وساحل العاج، من خلال التركيز على الأبعاد المؤسسية والقانونية واستخدام الأدوات الدبلوماسية والعسكرية، مشيرًا إلى أنها رغم مواجهتها تحديات كبيرة كتداخل المصالح وصعوبات التمويل، فقد أسهمت في تحقيق تحولات بارزة على صعيد تحقيق الأمن والاستقرار ودعم التحول الديمقراطي في المنطقة.							https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=292174
292173	1	النظام السياسي و مشكلات الوحدة الوطنية في دولة جنوب أفريقيا /	حميد، خميس دهام،	يتناول كتاب "النظام السياسي ومشكلات الوحدة الوطنية في دولة جنوب أفريقيا" للدكتور خميس دهام حميد تطور الدولة الجنوب أفريقية منذ نشأتها مرورًا بمراحل الفصل العنصري حتى التحولات الديمقراطية المعاصرة، مع التركيز على التحديات التي واجهت الوحدة الوطنية في ظل تعددية عرقية وثقافية حادة. يناقش الكتاب تاريخ نشأة الدولة ودور الاستعمار في زراعة بذور الانقسام، ثم يدرس بالتفصيل نظام الحكم ومؤسسات الدولة، مسلطاً الضوء على سياسات الفصل العنصري التي عززت الانقسامات بين السكان وأضعفت جدوى الوحدة الوطنية. كما يتأمل في تجربة التحول الديمقراطي بعد عام 1994، ويحلل الصعوبات التي واجهت بناء دولة ديمقراطية وموحدة في ظل الإرث العنصري والصراعات الاجتماعية، ويبين كيف أن الحلول الهجينة بين الفيدرالية والمركزية لم تقضِ على أسباب ضعف الوحدة الوطنية بشكل كامل، مما أبقى التحديات قائمة رغم التقدم الديمقراطي.							https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=292173
